cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,prev_price,day,month,year,day_of_week
Wheat flour - Retail,KG,cereals and tubers,13,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13,15,1,2004,3
Wheat flour - Retail,KG,cereals and tubers,13,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13,15,2,2004,6
Wheat flour - Retail,KG,cereals and tubers,14.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13,15,3,2004,0
Wheat flour - Retail,KG,cereals and tubers,12.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.25,15,4,2004,3
Wheat flour - Retail,KG,cereals and tubers,13.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.5,15,5,2004,5
Wheat flour - Retail,KG,cereals and tubers,13.405,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.25,15,6,2004,1
Wheat flour - Retail,KG,cereals and tubers,13.6,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.405,15,7,2004,3
Wheat flour - Retail,KG,cereals and tubers,13.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.6,15,8,2004,6
Wheat flour - Retail,KG,cereals and tubers,13.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.75,15,9,2004,2
Wheat flour - Retail,KG,cereals and tubers,13.875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.75,15,10,2004,4
Wheat flour - Retail,KG,cereals and tubers,14.1875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.875,15,11,2004,0
Wheat flour - Retail,KG,cereals and tubers,14.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.1875,15,12,2004,2
Wheat flour - Retail,KG,cereals and tubers,14.375,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.75,15,1,2005,5
Wheat flour - Retail,KG,cereals and tubers,14.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.375,15,2,2005,1
Wheat flour - Retail,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.25,15,3,2005,1
Wheat flour - Retail,KG,cereals and tubers,14.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.5,15,4,2005,4
Wheat flour - Retail,KG,cereals and tubers,13,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.25,15,5,2005,6
Wheat flour - Retail,KG,cereals and tubers,12.66,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13,15,6,2005,2
Wheat flour - Retail,KG,cereals and tubers,12.66,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.66,15,7,2005,4
Wheat flour - Retail,KG,cereals and tubers,12.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.66,15,8,2005,0
Wheat flour - Retail,KG,cereals and tubers,12.625,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.5,15,9,2005,3
Wheat flour - Retail,KG,cereals and tubers,12.813,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.625,15,10,2005,5
Wheat flour - Retail,KG,cereals and tubers,12.875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.813,15,11,2005,1
Wheat flour - Retail,KG,cereals and tubers,12.875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.875,15,12,2005,3
Wheat flour - Retail,KG,cereals and tubers,12.815,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.875,15,1,2006,6
Wheat flour - Retail,KG,cereals and tubers,12.97,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.815,15,2,2006,2
Wheat flour - Retail,KG,cereals and tubers,12.97,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.97,15,3,2006,2
Wheat flour - Retail,KG,cereals and tubers,13.015,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.97,15,4,2006,5
Wheat flour - Retail,KG,cereals and tubers,13.15,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.015,15,5,2006,0
Wheat flour - Retail,KG,cereals and tubers,13.32,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.15,15,6,2006,3
Wheat flour - Retail,KG,cereals and tubers,13.15,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.32,15,7,2006,5
Wheat flour - Retail,KG,cereals and tubers,13.29,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.15,15,8,2006,1
Wheat flour - Retail,KG,cereals and tubers,13.4225,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.29,15,9,2006,4
Wheat flour - Retail,KG,cereals and tubers,13.19,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.4225,15,10,2006,6
Wheat flour - Retail,KG,cereals and tubers,13.19,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.19,15,11,2006,2
Wheat flour - Retail,KG,cereals and tubers,13.785,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.19,15,12,2006,4
Wheat flour - Retail,KG,cereals and tubers,14.13,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.785,15,1,2007,0
Wheat flour - Retail,KG,cereals and tubers,14.13,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.13,15,2,2007,3
Wheat flour - Retail,KG,cereals and tubers,14.13,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.13,15,3,2007,3
Wheat flour - Retail,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.13,15,4,2007,6
Wheat flour - Retail,KG,cereals and tubers,14.1,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.5,15,5,2007,1
Wheat flour - Retail,KG,cereals and tubers,14.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.1,15,6,2007,4
Wheat flour - Retail,KG,cereals and tubers,15.19,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.5,15,7,2007,6
Wheat flour - Retail,KG,cereals and tubers,15.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,15.19,15,8,2007,2
Wheat flour - Retail,KG,cereals and tubers,15.696,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,15.75,15,9,2007,5
