date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,prev_price
1/15/2004,Wheat flour - Retail,KG,cereals and tubers,13.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,
2/15/2004,Wheat flour - Retail,KG,cereals and tubers,13.0,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.0
3/15/2004,Wheat flour - Retail,KG,cereals and tubers,14.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.0
4/15/2004,Wheat flour - Retail,KG,cereals and tubers,12.5,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.25
5/15/2004,Wheat flour - Retail,KG,cereals and tubers,13.25,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,12.5
6/15/2004,Wheat flour - Retail,KG,cereals and tubers,13.405,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.25
7/15/2004,Wheat flour - Retail,KG,cereals and tubers,13.6,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.405
8/15/2004,Wheat flour - Retail,KG,cereals and tubers,13.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.6
9/15/2004,Wheat flour - Retail,KG,cereals and tubers,13.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.75
10/15/2004,Wheat flour - Retail,KG,cereals and tubers,13.875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.75
11/15/2004,Wheat flour - Retail,KG,cereals and tubers,14.1875,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,13.875
12/15/2004,Wheat flour - Retail,KG,cereals and tubers,14.75,PKR,Pakistan,Balochistan,2272,Quetta,295,58,15,5,1,295_58_15_5,14.1875
